,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
137,Audiology & Speech-Language Pathology,19,6,4,4,1,3,0,1,0.002103049421661409,0.0004978220286247666,0.00015624389672278427,0.0009523809523809524,0.0003278688524590164,0.0,0.00043159257660768235
138,Horticulture,204,2,0,198,1,1,0,2,0.0007010164738871364,0.0,0.0077340728877778216,0.0009523809523809524,0.0001092896174863388,0.0,0.0008631851532153647
139,Developmental Biology,151,8,75,38,1,18,0,11,0.0028040658955485456,0.009334163036714374,0.0014843170188664505,0.0009523809523809524,0.0019672131147540984,0.0,0.004747518342684506
140,Social Work,133,4,2,16,13,61,3,34,0.0014020329477742728,0.0002489110143123833,0.0006249755868911371,0.012380952380952381,0.006666666666666667,0.0028929604628736743,0.0146741476046612
141,Urban Studies,124,12,0,13,10,28,2,59,0.004206098843322818,0.0,0.0005077926643490488,0.009523809523809525,0.0030601092896174863,0.0019286403085824494,0.025463962019853258
142,"Film, Radio, Television",5,2,0,1,0,1,0,1,0.0007010164738871364,0.0,3.906097418069607e-05,0.0,0.0001092896174863388,0.0,0.00043159257660768235
143,Cell Biology,1090,7,272,657,24,72,0,58,0.0024535576586049773,0.03385189794648413,0.025663060036717315,0.022857142857142857,0.007868852459016393,0.0,0.025032369443245578
144,Business,35,3,0,12,2,7,0,11,0.0010515247108307045,0.0,0.0004687316901683528,0.0019047619047619048,0.0007650273224043716,0.0,0.004747518342684506
145,"Physics, Applied",628,17,455,111,11,2,2,30,0.005958640028040659,0.0566272557560672,0.004335768134057264,0.010476190476190476,0.0002185792349726776,0.0019286403085824494,0.01294777729823047
146,"Computer Science, Cybernetics",53,2,13,13,2,8,13,2,0.0007010164738871364,0.0016179215930304915,0.0005077926643490488,0.0019047619047619048,0.0008743169398907104,0.01253616200578592,0.0008631851532153647
147,"Engineering, Biomedical",196,2,39,97,13,13,3,29,0.0007010164738871364,0.0048537647790914745,0.0037889144955275183,0.012380952380952381,0.0014207650273224044,0.0028929604628736743,0.012516184721622789
148,Mathematical & Computational Biology,315,15,59,211,3,15,3,9,0.005257623554153523,0.007342874922215308,0.00824186555212687,0.002857142857142857,0.001639344262295082,0.0028929604628736743,0.003884333189469141
149,Infectious Diseases,4401,10,21,4166,26,124,22,32,0.0035050823694356818,0.0026135656502800247,0.1627280184367798,0.024761904761904763,0.013551912568306011,0.021215043394406944,0.013810962451445835
150,"Hospitality, Leisure, Sport & Tourism",32,3,2,2,1,19,1,4,0.0010515247108307045,0.0002489110143123833,7.812194836139214e-05,0.0009523809523809524,0.002076502732240437,0.0009643201542912247,0.0017263703064307294
151,Sport Sciences,63,2,0,6,1,48,1,5,0.0007010164738871364,0.0,0.0002343658450841764,0.0009523809523809524,0.005245901639344262,0.0009643201542912247,0.0021579628830384117
152,Reproductive Biology,134,5,7,96,0,20,2,4,0.0017525411847178409,0.0008711885500933416,0.0037498535213468225,0.0,0.002185792349726776,0.0019286403085824494,0.0017263703064307294
