,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
92,Surgery,243,3,14,22,1,193,9,1,0.0010515247108307045,0.0017423771001866832,0.0008593414319753135,0.0009523809523809524,0.021092896174863388,0.008678881388621022,0.00043159257660768235
93,Acoustics,35,4,4,18,3,4,0,2,0.0014020329477742728,0.0004978220286247666,0.0007030975352525292,0.002857142857142857,0.0004371584699453552,0.0,0.0008631851532153647
94,Audiology & Speech-Language Pathology,19,6,4,4,1,3,0,1,0.002103049421661409,0.0004978220286247666,0.00015624389672278427,0.0009523809523809524,0.0003278688524590164,0.0,0.00043159257660768235
95,Developmental Biology,151,8,75,38,1,18,0,11,0.0028040658955485456,0.009334163036714374,0.0014843170188664505,0.0009523809523809524,0.0019672131147540984,0.0,0.004747518342684506
96,Social Work,133,4,2,16,13,61,3,34,0.0014020329477742728,0.0002489110143123833,0.0006249755868911371,0.012380952380952381,0.006666666666666667,0.0028929604628736743,0.0146741476046612
97,Urban Studies,124,12,0,13,10,28,2,59,0.004206098843322818,0.0,0.0005077926643490488,0.009523809523809525,0.0030601092896174863,0.0019286403085824494,0.025463962019853258
98,"Film, Radio & Television",5,2,0,1,0,1,0,1,0.0007010164738871364,0.0,3.906097418069607e-05,0.0,0.0001092896174863388,0.0,0.00043159257660768235
99,Cell Biology,1101,7,275,661,24,76,0,58,0.0024535576586049773,0.03422526446795271,0.0258193039334401,0.022857142857142857,0.008306010928961749,0.0,0.025032369443245578
100,Mathematical & Computational Biology,315,15,59,211,3,15,3,9,0.005257623554153523,0.007342874922215308,0.00824186555212687,0.002857142857142857,0.001639344262295082,0.0028929604628736743,0.003884333189469141
101,Infectious Diseases,4401,10,21,4166,26,124,22,32,0.0035050823694356818,0.0026135656502800247,0.1627280184367798,0.024761904761904763,0.013551912568306011,0.021215043394406944,0.013810962451445835
102,Sport Sciences,63,2,0,6,1,48,1,5,0.0007010164738871364,0.0,0.0002343658450841764,0.0009523809523809524,0.005245901639344262,0.0009643201542912247,0.0021579628830384117
103,Reproductive Biology,134,5,7,96,0,20,2,4,0.0017525411847178409,0.0008711885500933416,0.0037498535213468225,0.0,0.002185792349726776,0.0019286403085824494,0.0017263703064307294
104,Veterinary Sciences,170,1,6,147,0,5,0,11,0.0003505082369435682,0.00074673304293715,0.005741963204562322,0.0,0.000546448087431694,0.0,0.004747518342684506
105,Legal Medicine,101,3,0,4,6,86,0,2,0.0010515247108307045,0.0,0.00015624389672278427,0.005714285714285714,0.009398907103825137,0.0,0.0008631851532153647
106,Substance Abuse,393,3,9,58,43,258,8,14,0.0010515247108307045,0.001120099564405725,0.002265536502480372,0.040952380952380955,0.02819672131147541,0.007714561234329798,0.006042296072507553
107,Energy & Fuels,188,6,18,112,3,4,23,22,0.002103049421661409,0.00224019912881145,0.00437482910823796,0.002857142857142857,0.0004371584699453552,0.022179363548698167,0.009495036685369012
108,Medical Ethics,72,2,0,9,8,51,1,1,0.0007010164738871364,0.0,0.0003515487676262646,0.007619047619047619,0.005573770491803279,0.0009643201542912247,0.00043159257660768235
109,Parasitology,2069,3,38,2004,1,6,2,15,0.0010515247108307045,0.0047293092719352834,0.07827819225811491,0.0009523809523809524,0.0006557377049180328,0.0019286403085824494,0.006473888649115235
110,Tropical Medicine,2281,4,8,2234,3,9,7,16,0.0014020329477742728,0.0009956440572495332,0.08726221631967501,0.002857142857142857,0.0009836065573770492,0.006750241080038573,0.0069054812257229176
